task,model,format,file,error,error_message
character,llama-2,yaml,7.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: blue
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 7:
          height: 1.8
          ^"
character,llama-2,yaml,70.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
character,llama-2,yaml,71.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
character,llama-2,yaml,72.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: blue
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 7:
          height: 1.8
          ^"
character,llama-2,yaml,81.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
character,llama-2,yaml,85.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
character,llama-2,yaml,93.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
character,llama-2,yaml,95.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 32, column 1:
    ```
    ^"
character,llama-2,yaml,97.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 9, column 7:
          - eye_color: brown
          ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 11, column 7:
          height: 165.0
          ^"
character,llama3.1-70b,xml,3.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 28"
character,llama3.1-70b,xml,41.txt,incorrect_syntax,"duplicate attribute: line 7, column 27"
character,llama3.1-70b,xml,54.txt,incorrect_syntax,"not well-formed (invalid token): line 7, column 26"
character,llama3.1-70b,xml,58.txt,incorrect_syntax,"not well-formed (invalid token): line 6, column 21"
character,mpt,yaml,19.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 3, column 5:
        age: 20
        ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 14, column 18:
        role: ""角色描述"" or provide a value here if needed
                     ^"
character,mpt,yaml,23.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
character,mpt,yaml,89.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 16, column 1:
    ```
    ^"
dialogue,falcon,xml,2.txt,key_completeness,The key 'dialogues' is missing.
dialogue,falcon,xml,26.txt,incorrect_syntax,"not well-formed (invalid token): line 2, column 10"
dialogue,falcon,xml,31.txt,key_completeness,The key 'game' is missing.
dialogue,falcon,xml,58.txt,incorrect_syntax,"mismatched tag: line 7, column 52"
dialogue,falcon,xml,61.txt,key_completeness,The key 'dialogues' is missing.
dialogue,falcon,xml,95.txt,key_completeness,The key 'game' is missing.
dialogue,falcon,yaml,1.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 4, column 1:
    ```
    ^"
dialogue,falcon,yaml,40.txt,incorrect_syntax,"expected a single document in the stream
  in ""<unicode string>"", line 2, column 1:
    game:
    ^
but found another document
  in ""<unicode string>"", line 8, column 1:
    ---
    ^"
dialogue,falcon,yaml,43.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 2, column 3:
      backstory:
      ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 18, column 3:
      - order: 4
      ^"
dialogue,falcon,yaml,51.txt,incorrect_syntax,"expected a single document in the stream
  in ""<unicode string>"", line 1, column 1:
    game:
    ^
but found another document
  in ""<unicode string>"", line 11, column 1:
    ---
    ^"
dialogue,falcon,yaml,72.txt,key_completeness,The key 'dialogues' is missing.
dialogue,falcon,yaml,79.txt,incorrect_syntax,"while scanning a block scalar
  in ""<unicode string>"", line 1, column 1:
    > This is a Markdown code block. ... 
    ^
expected a comment or a line break, but found 'T'
  in ""<unicode string>"", line 1, column 3:
    > This is a Markdown code block. Y ... 
      ^"
dialogue,falcon,yaml,81.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 5, column 1:
    ```
    ^"
dialogue,falcon,yaml,9.txt,incorrect_syntax,"while scanning for the next token
found character '@' that cannot start any token
  in ""<unicode string>"", line 2, column 15:
       - speaker: @player1
                  ^"
dialogue,falcon,yaml,99.txt,key_completeness,The root of the result is not a dictionary.
dialogue,gemini-pro,yaml,46.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 29, column 78:
     ... unfold, Emily. For now, remember: the path to the Lost City is s ... 
                                         ^"
dialogue,gemini-pro,yaml,69.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 27, column 7:
        - order: 9
          ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 30, column 9:
            conclusion: ""They soon came to t ... 
            ^"
dialogue,gpt-4,yaml,57.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 15, column 5:
      - order: 5
        ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 17, column 26:
        text: 'On it! We can't lose our only chance to find t ... 
                             ^"
dialogue,llama-2,xml,2.txt,incorrect_syntax,"not well-formed (invalid token): line 6, column 0"
dialogue,llama-2,xml,7.txt,incorrect_syntax,"not well-formed (invalid token): line 11, column 0"
dialogue,llama-2,yaml,11.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: ""dialogue order""
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: ""speaker name""
        ^"
dialogue,llama-2,yaml,13.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,17.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 6, column 1:
    ```
    ^"
dialogue,llama-2,yaml,24.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 18, column 1:
    ```
    ^"
dialogue,llama-2,yaml,30.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 9, column 1:
    ```
    ^"
dialogue,llama-2,yaml,31.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,37.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,41.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,43.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,47.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 9, column 1:
    ```
    ^"
dialogue,llama-2,yaml,5.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,50.txt,incorrect_syntax,"expected a single document in the stream
  in ""<unicode string>"", line 4, column 1:
    - order: dialogue order
    ^
but found another document
  in ""<unicode string>"", line 7, column 1:
    ---
    ^"
dialogue,llama-2,yaml,53.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,58.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 1, column 1:
    game:
    ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 8, column 1:
    - order: dialogue order
    ^"
dialogue,llama-2,yaml,59.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 6, column 1:
    ```
    ^"
dialogue,llama-2,yaml,60.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,63.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 12, column 1:
    ```
    ^"
dialogue,llama-2,yaml,68.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,7.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,75.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 3, column 7:
        - order: 1
          ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 6, column 7:
          - order: 2
          ^"
dialogue,llama-2,yaml,86.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama-2,yaml,93.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 10, column 1:
    ```
    ^"
dialogue,llama-2,yaml,99.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 3, column 4:
       - order: dialogue order
       ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 4, column 5:
        speaker: speaker name
        ^"
dialogue,llama3.1,yaml,10.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 3, column 5:
      - order: 1
        ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 5, column 22:
        text: 'Hey, what's up?'
                         ^"
dialogue,llama3.1,yaml,36.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 6, column 7:
        - order: 2
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 8, column 17:
          text: 'I\'m fine, thanks. How about you?'
                    ^"
dialogue,llama3.1,yaml,40.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 12, column 7:
        - order: 4
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 14, column 16:
          text: 'I'll take that chance. I've been t ... 
                   ^"
dialogue,llama3.1,yaml,52.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 12, column 7:
        - order: 4
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 14, column 17:
          text: 'I\'m your man! Where's the village?'
                    ^"
dialogue,llama3.1,yaml,57.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 6, column 7:
        - order: 2
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 8, column 37:
          text: 'Ah, a traveler. We don't get many strangers here. What  ... 
                                        ^"
dialogue,llama3.1,yaml,71.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 6, column 7:
        - order: 2
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 8, column 24:
          text: 'We haven\'t had a stranger here for years. ... 
                           ^"
dialogue,llama3.1,yaml,8.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 6, column 7:
        - order: 2
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 8, column 27:
          text: 'You shouldn\'t have come here. Now you\'ll ne ... 
                              ^"
dialogue,llama3.1,yaml,9.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 6, column 7:
        - order: 2
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 8, column 17:
          text: 'I\'ve been preparing for weeks. I k ... 
                    ^"
dialogue,llama3.1,yaml,95.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 18, column 7:
        - order: 6
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 20, column 21:
          text: 'I don\'t know what you\'re talking abou ... 
                        ^"
dialogue,llama3.1,yaml,99.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 12, column 7:
        - order: 4
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 14, column 19:
          text: 'That's very kind of you. Can I help y ... 
                      ^"
dialogue,llama3.1-70b,yaml,23.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 6, column 7:
        - order: 2
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 8, column 37:
          text: 'Thank you, Captain. I\'m excited to explore this myster ... 
                                        ^"
dialogue,llama3.1-70b,yaml,24.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 8, column 73:
     ... and opening of our newest wonder: the Clockwork Spire!
                                         ^"
dialogue,mpt,xml,73.txt,incorrect_syntax,"not well-formed (invalid token): line 14, column 24"
dialogue,mpt,yaml,27.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 3, column 7:
        - order: 1
          ^
expected <block end>, but found '<scalar>'
  in ""<unicode string>"", line 5, column 37:
          text: 'As I was saying, there's been an enormous increase in v ... 
                                        ^"
enemy,falcon,xml,15.txt,incorrect_syntax,"not well-formed (invalid token): line 12, column 15"
enemy,falcon,xml,20.txt,incorrect_syntax,"not well-formed (invalid token): line 10, column 17"
enemy,falcon,xml,41.txt,key_completeness,The key 'game' is missing.
enemy,falcon,xml,47.txt,incorrect_syntax,"not well-formed (invalid token): line 3, column 15"
enemy,falcon,xml,59.txt,incorrect_syntax,"mismatched tag: line 22, column 46"
enemy,falcon,xml,78.txt,key_completeness,The key 'game' is missing.
enemy,falcon,yaml,22.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 1, column 1:
    battle:
    ^
expected <block end>, but found '<block mapping start>'
  in ""<unicode string>"", line 10, column 2:
     rules:
     ^"
enemy,falcon,yaml,45.txt,key_completeness,The key 'game' is missing.
enemy,falcon,yaml,48.txt,key_completeness,The key 'game' is missing.
enemy,falcon,yaml,64.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 14, column 1:
    ```
    ^"
enemy,falcon,yaml,74.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 1, column 1:
    game:
    ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 23, column 1:
    - Spawn enemy entity
    ^"
enemy,falcon,yaml,8.txt,incorrect_syntax,"while parsing a block mapping
  in ""<unicode string>"", line 1, column 1:
    game:
    ^
expected <block end>, but found '-'
  in ""<unicode string>"", line 14, column 1:
    - name: Infiltrator
    ^"
enemy,gemini-pro,json,28.txt,key_completeness,The key 'game' is missing.
enemy,llama-2,xml,18.txt,incorrect_syntax,"not well-formed (invalid token): line 16, column 1"
enemy,llama-2,xml,51.txt,incorrect_syntax,"mismatched tag: line 4, column 10"
enemy,llama-2,xml,55.txt,incorrect_syntax,"not well-formed (invalid token): line 15, column 1"
enemy,llama-2,yaml,11.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 12, column 1:
    ```
    ^"
enemy,llama-2,yaml,13.txt,incorrect_syntax,"could not determine a constructor for the tag '!int'
  in ""<unicode string>"", line 7, column 12:
          atk: !int atk_int_value
               ^"
enemy,llama-2,yaml,18.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 12, column 1:
    ```
    ^"
enemy,llama-2,yaml,32.txt,key_completeness,The key 'enemy' is missing.
enemy,llama-2,yaml,34.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 12, column 1:
    ```
    ^"
enemy,llama-2,yaml,36.txt,key_completeness,The key 'enemy' is missing.
enemy,llama-2,yaml,44.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 12, column 1:
    ```
    ^"
enemy,llama-2,yaml,53.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 12, column 1:
    ```
    ^"
enemy,llama-2,yaml,56.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 12, column 1:
    ```
    ^"
enemy,llama-2,yaml,66.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 12, column 1:
    ```
    ^"
enemy,llama-2,yaml,72.txt,key_completeness,The key 'game' is missing.
enemy,llama-2,yaml,76.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 12, column 1:
    ```
    ^"
enemy,llama3.1,yaml,46.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 12, column 1:
    ```
    ^"
enemy,mpt,xml,26.txt,incorrect_syntax,"mismatched tag: line 9, column 112"
enemy,mpt,yaml,19.txt,incorrect_syntax,"expected a single document in the stream
  in ""<unicode string>"", line 2, column 1:
    game:
    ^
but found another document
  in ""<unicode string>"", line 23, column 1:
    ---
    ^"
quest,falcon,json,58.txt,empty_response,Expecting property name enclosed in double quotes: line 11 column 31 (char 306)
quest,falcon,xml,10.txt,key_completeness,The key 'reward' is missing.
quest,falcon,xml,24.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 14"
quest,falcon,xml,29.txt,incorrect_syntax,"not well-formed (invalid token): line 5, column 18"
quest,falcon,xml,35.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 19"
quest,falcon,xml,39.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 17"
quest,falcon,xml,43.txt,key_completeness,"The key 'id' is missing., The key 'description' is missing."
quest,falcon,xml,5.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 14"
quest,falcon,xml,50.txt,key_completeness,The key 'quest_giver' is missing.
quest,falcon,xml,54.txt,key_completeness,"The key 'id' is missing., The key 'objective' is missing., The key 'reward' is missing."
quest,falcon,xml,55.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 17"
quest,falcon,xml,64.txt,incorrect_syntax,"not well-formed (invalid token): line 4, column 19"
quest,falcon,xml,65.txt,incorrect_syntax,"not well-formed (invalid token): line 3, column 13"
quest,falcon,xml,72.txt,incorrect_syntax,"not well-formed (invalid token): line 8, column 20"
quest,falcon,xml,81.txt,incorrect_syntax,"mismatched tag: line 3, column 18"
quest,falcon,xml,87.txt,incorrect_syntax,"not well-formed (invalid token): line 6, column 23"
quest,falcon,xml,88.txt,incorrect_syntax,"not well-formed (invalid token): line 5, column 18"
quest,falcon,yaml,1.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 13, column 1:
    ```
    ^"
quest,falcon,yaml,14.txt,incorrect_syntax,"while parsing a block collection
  in ""<unicode string>"", line 2, column 3:
      - name: name
      ^
expected <block end>, but found '?'
  in ""<unicode string>"", line 3, column 3:
      description: quest description
      ^"
quest,falcon,yaml,26.txt,key_completeness,The key 'title' is missing.
quest,falcon,yaml,32.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 13, column 1:
    ```
    ^"
quest,falcon,yaml,4.txt,key_completeness,"The key 'id' is missing., The key 'objective' is missing., The key 'description' is missing., The key 'reward' is missing., The key 'quest_giver' is missing."
quest,falcon,yaml,40.txt,key_completeness,The key 'id' is missing.
quest,falcon,yaml,42.txt,incorrect_syntax,"while constructing a mapping
  in ""<unicode string>"", line 3, column 7:
      id: {{id}}
          ^
found unhashable key
  in ""<unicode string>"", line 3, column 8:
      id: {{id}}
           ^"
quest,falcon,yaml,44.txt,key_completeness,"The key 'id' is missing., The key 'reward' is missing."
quest,falcon,yaml,50.txt,incorrect_syntax,"mapping values are not allowed here
  in ""<unicode string>"", line 29, column 36:
        - description: success-checkout: must checkout item at old shop
                                       ^"
quest,falcon,yaml,55.txt,incorrect_syntax,"while scanning for the next token
found character '`' that cannot start any token
  in ""<unicode string>"", line 17, column 1:
    ```
    ^"
quest,falcon,yaml,59.txt,key_completeness,The key 'title' is missing.
